ID,SITIO,UBICACION,TEMPORADA,PROF2,TEMP1,FLUJO
1,UNO,RIO ABAJO,LLUVIAS,21,12.5,0.4
2,UNO,RIO ABAJO,LLUVIAS,17,12.3,0.4
3,UNO,RIO ABAJO,LLUVIAS,20,12.7,0.3
4,UNO,RIO ABAJO,LLUVIAS,22,12.5,0.4
5,UNO,RIO ABAJO,LLUVIAS,19,12.1,0.5
6,UNO,RIO ABAJO,LLUVIAS,10,12.3,0.3
7,UNO,RIO ABAJO,LLUVIAS,16,13.2,0.3
8,UNO,RIO ABAJO,LLUVIAS,24,13.2,0.1
9,UNO,RIO ABAJO,LLUVIAS,23.5,13,0.1
10,UNO,RIO ABAJO,LLUVIAS,31,13.1,0.2
11,UNO,RIO ABAJO,LLUVIAS,35,13.3,0.4
12,UNO,RIO ABAJO,LLUVIAS,21,13.3,0.8
13,UNO,RIO ABAJO,LLUVIAS,37,13.7,0.1
14,UNO,RIO ABAJO,LLUVIAS,25.5,13.8,0.3
15,UNO,RIO ABAJO,LLUVIAS,30,14.6,0.1
16,UNO,RIO ABAJO,LLUVIAS,11,21,0.5
17,UNO,RIO ABAJO,SECAS,18,14.6,0.1
18,UNO,RIO ABAJO,SECAS,21,14.2,0.1
19,UNO,RIO ABAJO,SECAS,14.5,14.1,0.1
20,UNO,RIO ABAJO,SECAS,33,14.6,0.1
21,UNO,RIO ABAJO,SECAS,13,15.2,0.2
22,UNO,RIO ABAJO,SECAS,16.6,15.6,0.3
23,UNO,RIO ABAJO,SECAS,28,15.7,0.1
24,UNO,RIO ABAJO,SECAS,26,17.1,0
25,UNO,RIO ABAJO,SECAS,22,16.3,0
26,UNO,RIO ABAJO,SECAS,33,17.4,0.2
27,UNO,RIO ABAJO,SECAS,31,17,0.1
28,UNO,RIO ABAJO,SECAS,9,16.3,0.1
29,UNO,RIO ABAJO,SECAS,34.5,17.1,0.1
30,UNO,RIO ABAJO,SECAS,20,16.6,0.1
31,UNO,RIO ABAJO,SECAS,10,16.9,0.1
32,UNO,RIO ABAJO,SECAS,15,16.7,0.1
33,UNO,RIO ARRIBA,LLUVIAS,14,12.4,0.3
34,UNO,RIO ARRIBA,LLUVIAS,18,12.4,0.4
35,UNO,RIO ARRIBA,LLUVIAS,20,12.9,0.1
36,UNO,RIO ARRIBA,LLUVIAS,40,12.3,0.3
37,UNO,RIO ARRIBA,LLUVIAS,24,12.3,0.5
38,UNO,RIO ARRIBA,SECAS,9,16.2,0
39,UNO,RIO ARRIBA,SECAS,5,16.4,0
40,UNO,RIO ARRIBA,SECAS,19,14.9,0
41,UNO,RIO ARRIBA,SECAS,35,15.1,0
42,UNO,RIO ARRIBA,SECAS,42,14.6,0
43,UNO,RIO ABAJO,LLUVIAS,14,13,1
44,UNO,RIO ABAJO,LLUVIAS,15,12.7,0.2
45,UNO,RIO ABAJO,LLUVIAS,12,13.2,0.4
46,UNO,RIO ABAJO,SECAS,12,16.9,0.1
47,UNO,RIO ABAJO,SECAS,11,15.7,0
48,UNO,RIO ABAJO,SECAS,10,17.2,0
49,DOS,RIO ABAJO,SECAS,4,17,0
50,DOS,RIO ABAJO,SECAS,22,16.2,0
51,DOS,RIO ABAJO,SECAS,15,18.6,0
52,DOS,RIO ABAJO,SECAS,15,19.5,0
53,DOS,RIO ABAJO,SECAS,29,20.3,0.1
54,DOS,RIO ABAJO,SECAS,65,21,0
55,DOS,RIO ABAJO,SECAS,26,22.5,0
56,DOS,RIO ABAJO,SECAS,23,22.8,0
57,DOS,RIO ABAJO,SECAS,29,18.3,0
58,DOS,RIO ABAJO,SECAS,38,18.3,0
59,DOS,RIO ABAJO,LLUVIAS,8,12.6,0
60,DOS,RIO ABAJO,LLUVIAS,25,22.5,0.1
61,DOS,RIO ABAJO,LLUVIAS,60,22.8,0.2
62,DOS,RIO ABAJO,LLUVIAS,40,18.3,0.1
63,DOS,RIO ABAJO,LLUVIAS,47,18.3,0.2
64,DOS,RIO ABAJO,LLUVIAS,90,21,0
65,DOS,RIO ABAJO,LLUVIAS,36,22.5,0
66,DOS,RIO ABAJO,LLUVIAS,20,22.8,0.1
67,DOS,RIO ABAJO,LLUVIAS,14,18.3,0.3
68,DOS,RIO ABAJO,LLUVIAS,80,18.3,0
